,NS.1,NS.2,NS.3,NS.4,NS.5,NS.6,NS.7,NS.8,NS.9,NS.10,NS.11,NS.12,NS.13,NS.14,NS.15,NS.16,NS.17,NS.18,NS.19,NS.20,OA.1,OA.2,OA.3,OA.4,OA.5,OA.6,OA.7,OA.8,OA.9,OA.10,HS.1,HS.2,HS.3,HS.4,HS.5,HS.6,HS.7,HS.8,HS.9,HS.10,MA.1,MA.2,MA.3,MA.4,MA.5,SCO.1,SCO.2,SCO.3,SCO.4,SCO.5,SCO.6,SCO.7,SCO.8,SCO.9,SCO.10,>>DiffResult,NS_mean,OA_mean,HS_mean,MA_mean,SCO_mean,Log2FC(Max/Min),ANOVA_pvalue,MA-HS,NS-HS,OA-HS,SCO-HS,NS-MA,OA-MA,SCO-MA,OA-NS,SCO-NS,SCO-OA,ANOVA_p.adjust,Diff
CLU-N103-H6N5S1F2,0,0,21.06562173,0,23.00180411,0,18.5973392,19.64435165,21.31987318,22.04668946,0,0,21.07182851,0,21.67383902,24.40882636,0,0,23.23110523,19.82558045,0,0,22.04592501,0,0,0,0,0,0,0,22.50460463,0,21.22162984,20.29469588,0,0,22.88480483,0,20.98161116,0,22.26473494,0,23.71447909,21.49349771,22.20093265,0,0,19.97854982,20.63938209,20.37399999,20.68772214,0,0,0,0,>>DiffResult,11.79434294,2.204592501,10.78873463,17.93472888,8.167965404,15.73013638,0.061721305,0.713363885,0.999082732,0.351206558,0.979063529,0.756501063,0.055730279,0.425918296,0.131895746,0.892512161,0.696616656,0.120857965,NO
CLU-N103-H6N5S1F3,24.56498398,25.01694158,25.16531124,23.46648897,25.68237864,23.96823973,22.65748245,22.75034665,24.05669435,25.47275368,24.79154685,22.71602397,24.74619773,24.15203313,25.42874321,26.78461639,25.70712595,23.34830029,25.30625742,22.93239606,0,25.16635189,25.13362181,23.02015135,23.77355947,0,22.7529871,25.14897847,22.32024801,23.64327094,25.86018882,25.85181831,24.99897187,24.54355704,24.76996145,25.56091785,26.444964,22.76965354,24.56184683,24.97149735,26.00108489,25.54223132,26.52933002,24.12159305,24.41935264,22.14994716,20.23103097,22.6542175,22.23715236,20.06135707,22.57884408,22.72520393,22.99299588,23.7827336,24.15069648,>>DiffResult,24.43574311,19.0959169,25.03333771,25.32271838,22.3564179,6.22680148,0.016556009,0.999952228,0.996706968,0.03235334,0.65904066,0.994357719,0.09120924,0.736759615,0.023950854,0.742891256,0.473769021,0.04497006,YES
CLU-N103-H6N5S1F4,24.8589215,24.38244698,24.81686605,23.97183981,25.40121208,24.00201525,23.35281427,24.36975103,23.48365255,25.74927279,24.41955954,0,25.40757834,24.51461297,24.85307095,25.79363798,23.99990907,23.87551471,26.08826687,0,22.47373708,23.24004631,25.05095027,24.42160038,24.13543211,0,24.41767462,22.67277308,22.73864004,22.78888928,24.52142115,23.29079781,0,22.89976136,24.35571315,24.5510736,24.91848962,0,25.55028153,24.18605062,25.4824013,24.5386037,25.79200331,23.36271577,24.96188631,0,0,0,0,21.67702431,23.90700433,22.77738241,22.42666973,23.40371192,23.95074316,>>DiffResult,22.16704714,21.19397431,19.42735888,24.82752208,13.81425359,11.01326849,0.111818163,0.792427133,0.92713812,0.991200823,0.609981773,0.973289452,0.941504249,0.16355391,0.998470842,0.116100105,0.339385309,0.185411961,NO
CLU-N103-H6N5S2F1,24.12102242,24.26096247,23.72524829,21.14038696,24.7888068,24.03687851,0,23.82415511,25.59335783,25.29772465,23.52180592,0,22.51744024,23.59696211,23.59804768,25.25143963,23.09148839,22.26968391,24.25416142,0,0,25.17793396,0,0,22.74800845,0,0,0,22.62591123,23.22521904,20.17421812,22.01076984,0,22.04320774,22.68547476,22.89767979,0,0,23.47850561,0,23.67473905,23.60708556,23.82433095,0,20.29406061,0,0,0,0,21.04788343,22.55412733,0,0,0,22.10133312,>>DiffResult,20.24447862,9.377707269,13.32898559,18.28004323,6.570334388,13.67414423,0.009294077,0.907039181,0.433971882,0.913805261,0.597716014,0.995545238,0.528445671,0.256164131,0.068824802,0.011390401,0.97395763,0.028972736,YES
CLU-N103-H6N5S2F2,0,21.68608921,0,0,23.91438729,0,0,21.54183508,22.05627538,23.29967945,0,21.483323,0,22.84061013,22.91985569,24.21498976,23.81343159,22.48750528,22.94250133,22.70236738,0,0,0,0,0,0,23.36924473,22.47624332,22.52644298,0,0,23.02211165,22.25089915,22.40222179,22.28030266,22.12620669,23.40887587,0,0,22.8361294,0,0,0,21.01497569,0,0,0,0,0,0,0,23.20226476,0,0,0,>>DiffResult,14.79514253,6.837193102,15.83267472,4.202995139,2.320226476,13.51244824,0.008418768,0.258659177,0.998983379,0.309963782,0.040519959,0.26076332,0.990190595,0.997302806,0.289422554,0.024723314,0.865398369,0.026527061,YES
CLU-N103-H6N5S2F3,20.48492384,23.20896481,22.07565814,20.09111951,24.06684934,23.80307224,0,0,21.93349001,24.94661708,0,0,23.33846569,0,23.71061632,25.16128978,24.12846944,22.20312947,24.4251525,0,20.3625377,0,0,0,0,0,0,0,21.54708782,22.23997595,0,0,0,21.82547771,0,0,21.38198725,0,0,21.98007314,0,21.30816609,0,21.45946399,22.43436875,0,0,0,0,19.66397088,0,0,0,0,0,>>DiffResult,16.17889091,6.414960147,6.51875381,13.04039977,1.966397088,14.21249382,0.005685702,0.766048008,0.116762514,0.999999935,0.852506477,0.971406303,0.755567734,0.284195657,0.110337288,0.005960273,0.862689724,0.0193778,YES
CLU-N103-H6N5S3F1,23.11377784,23.27235569,24.25276141,22.36620646,25.16514428,24.85448731,19.6616218,23.6760398,23.55482675,24.18899262,24.20920966,0,23.7884611,23.58002524,22.4268256,24.687725,24.22298071,22.58962444,24.05020188,0,0,0,0,0,0,0,0,0,20.12280481,22.27593533,0,0,0,0,22.44138184,0,0,0,0,0,22.83116886,0,0,21.73052136,21.50020286,0,0,0,0,0,22.67266187,0,0,0,0,>>DiffResult,21.18306338,4.239874014,2.244138184,13.21237862,2.267266187,18.93892519,2.22E-08,0.110170975,1.66E-06,0.980937255,1,0.290983297,0.265319207,0.111421039,1.59E-05,1.70E-06,0.981742651,1.18E-06,YES
CLU-N103-H6N6F3,0,0,0,0,0,0,24.17333655,0,0,0,0,23.70095603,0,0,0,0,0,0,0,22.69442687,0,0,0,0,0,22.22651138,0,21.91784196,0,0,0,0,23.38100357,0,0,0,0,23.3666592,0,0,0,0,0,0,0,23.05086632,21.73773077,22.85567492,24.65229211,0,0,24.22487114,22.52384019,22.53949083,0,>>DiffResult,3.528435972,4.414435334,4.674766277,0,16.15847663,16.15847663,0.005937512,0.882996442,0.997557589,0.999996157,0.053135126,0.937806447,0.902811417,0.018198747,0.999109884,0.00701491,0.045498152,0.01997086,YES
CLU-N103-H7N4F3,0,0,0,0,0,0,0,0,0,0,22.1514157,0,23.20104632,0,0,21.58844509,0,22.68428424,0,0,24.82140623,23.34622567,0,0,0,0,0,0,23.78814285,23.25251139,0,0,0,0,0,22.0093515,0,0,0,20.7721103,0,0,0,21.03358126,0,0,27.01792205,24.67076435,24.40641913,0,0,23.22525673,24.58314213,24.15343395,23.45858082,>>DiffResult,4.481259568,9.520828614,4.27814618,4.206716251,17.15155192,12.94483566,0.024185829,0.999999994,0.999998431,0.78681908,0.055176584,0.999998115,0.87983249,0.165226637,0.715980685,0.020960727,0.471548451,0.060155817,NO
CLU-N103-H7N5F2,0,0,23.01552292,23.19229034,21.10570933,0,0,21.86698351,0,0,0,0,0,0,0,24.69272967,0,0,0,0,22.99906984,0,0,0,0,19.01639169,23.10097233,25.7968998,0,0,24.26762099,0,0,0,0,0,23.95301756,0,0,0,26.59129626,27.15400626,0,26.66661928,26.17405514,23.56437508,24.3358636,19.94446999,0,0,20.62077181,0,0,23.65193336,0,>>DiffResult,5.693661789,9.091333365,4.822063855,21.31719539,11.21174138,16.49513153,0.055208647,0.060278164,0.999587393,0.905658647,0.688973966,0.046958971,0.262566599,0.451641064,0.928874807,0.691203467,0.992438563,0.11127398,NO
CLU-N103-H7N5F3,0,0,0,0,0,20.05095454,0,0,0,0,0,0,24.45105184,0,0,21.02264451,0,0,0,0,0,21.69177934,0,0,0,0,0,22.85896985,0,0,20.01604444,20.66614796,0,23.86624007,22.88725067,0,0,0,0,0,23.53760727,22.79640714,23.33972824,27.04298408,24.05265415,0,0,0,22.59995793,19.60950997,0,0,0,20.32850616,21.04713486,>>DiffResult,3.276232545,4.455074919,8.743568314,24.15387618,8.358510892,20.87764363,0.00098444,0.028408369,0.546770568,0.835041097,0.999982092,0.000339732,0.002522215,0.023255844,0.997340619,0.615055393,0.876759479,0.005183828,YES
CLU-N103-H7N5F4,23.47358072,22.89333307,23.88437099,22.92860038,23.79660268,21.86708397,21.83587038,24.2426655,22.08246004,23.4369113,23.81941263,22.11475377,24.88834776,24.47493823,22.2432411,25.93277696,25.61137864,0,25.07060105,22.30843995,23.18980521,0,25.55118837,0,25.79542203,0,21.46171808,25.06993311,24.32398709,0,25.9197041,25.92368723,24.19545097,21.3902874,26.01753305,26.46629981,25.44342177,22.21080773,25.23147853,25.50445626,25.70916659,24.43505905,25.4176024,26.65243866,23.47123072,22.7139878,25.59999186,22.76999255,0,26.15007353,23.94137731,23.28293643,22.62071618,25.92479869,24.57976037,>>DiffResult,22.34526846,14.53920539,24.83031268,25.13709948,21.75836347,10.5978941,0.017500467,0.999991134,0.896331885,0.018301284,0.871037352,0.934830865,0.066934619,0.90887899,0.051146151,0.999534159,0.1755634,0.046500959,YES
CLU-N103-H7N5S1F2,0,0,0,0,22.08694603,0,0,20.90950692,22.74832709,21.57903996,0,0,0,22.99672741,0,21.59381326,0,22.67941483,0,0,0,0,0,23.19975188,0,0,0,0,0,0,24.12520295,0,0,0,0,24.18164354,0,0,0,0,22.12819838,0,0,0,0,0,0,23.4133928,22.76153706,21.44762011,22.21734621,21.98323673,21.21746469,0,21.54163155,>>DiffResult,7.729688775,2.319975188,4.830684649,4.425639676,15.45822291,13.13824773,0.052774799,0.999993138,0.944944732,0.980417856,0.142884444,0.964540631,0.995328814,0.279918544,0.637765617,0.288806322,0.039987247,0.107191257,NO
CLU-N103-H7N6F2,0,0,0,0,0,0,24.96277643,0,0,0,0,23.91641366,0,0,0,0,0,0,0,23.48046418,0,0,22.16667713,0,0,22.86008376,0,22.46766069,0,0,0,0,24.55147112,0,0,0,0,23.52373389,0,0,0,0,0,22.47766893,0,23.18356665,22.68943521,22.96954919,25.08200696,0,0,25.09498219,23.05952132,22.90117935,0,>>DiffResult,3.617982714,6.749442158,4.807520501,4.495533787,16.49802409,12.88004137,0.027222636,0.999997573,0.998038777,0.992519488,0.085511077,0.999784182,0.993909435,0.203926573,0.928021096,0.014357097,0.208317893,0.066023364,NO
CLU-N103-H7N6F3,0,20.8651654,0,0,0,0,22.46419769,0,0,20.60851728,0,22.45998028,0,0,0,21.73356464,0,0,0,22.24169068,0,0,22.03606191,0,0,23.09270997,0,0,0,0,0,0,22.46837146,0,0,0,0,23.53315032,0,0,0,0,0,22.06324983,21.26532811,23.33429852,22.68765389,23.20139136,23.09006516,0,0,22.68863436,22.76561096,22.84271731,0,>>DiffResult,6.518655799,4.512877188,4.600152179,8.665715589,16.06103716,11.54815997,0.084201646,0.950974257,0.988820821,0.99999997,0.110451782,0.993505657,0.947197188,0.686822746,0.986783831,0.135232163,0.106024638,0.150968903,NO
CLU-N103-H7N6F4,24.24906459,24.42466215,23.09576472,24.04283906,25.13636023,0,22.84335211,24.84607911,0,24.20138017,23.06501187,22.71547458,23.99293498,25.89892326,24.0461933,26.56951176,23.44630751,23.68133918,23.97229117,23.65042058,21.6349048,0,24.86526625,24.02574904,23.99987102,24.26227809,23.37037483,25.22368927,0,0,23.80739293,23.9107871,23.50183084,0,23.20011865,23.56056148,23.68872553,24.16666869,21.49048957,24.54926635,24.77538112,24.67167909,27.21292585,26.65345403,26.52004816,24.10293274,23.68179894,23.91840349,23.89088021,0,21.91439931,24.20658864,24.53237997,23.63679643,22.09555065,>>DiffResult,21.69389552,16.73821333,21.18758412,25.96669765,21.19797304,9.228484322,0.323049201,0.817954568,0.999842979,0.735941207,1,0.828911849,0.245829168,0.819125059,0.518306354,0.999855399,0.734276407,0.412726247,NO
CLU-N103-H7N6F5,24.8279786,24.88862351,25.66431339,24.12940568,23.6994676,24.74899506,23.47273822,25.81064696,24.09023264,24.8939037,25.23103511,0,24.4272601,24.56420271,24.5075103,27.39501255,24.66484082,24.34908822,22.83294928,23.79340534,22.37761992,23.43030432,25.79715097,23.51407899,24.2892195,24.07997857,24.30289008,24.53768577,0,0,25.38039105,21.69730408,21.7941961,0,25.222221,25.21687373,25.87729082,23.76952441,24.10480409,25.12412825,26.32653753,26.10657637,27.59220126,26.46931682,26.19957107,23.7807618,23.02813378,23.69681451,23.74674692,0,23.05257237,24.32265509,24.55243607,22.59944216,23.41755723,>>DiffResult,23.39958049,19.23289281,21.81867335,26.53884061,21.21971199,7.305947798,0.378505382,0.751336084,0.979048174,0.927836717,0.999719916,0.904989217,0.353345705,0.660333743,0.568556051,0.934154428,0.97144012,0.470215506,NO
CLU-N103-H7N6F6,24.46583111,24.73861824,23.51340937,23.59410782,24.23745647,24.62603871,20.29562388,23.26407081,23.61240436,24.72100829,25.36924837,20.80843173,24.28490699,24.44103243,24.95546746,24.39969838,24.50640534,23.52234187,24.95453809,21.28052289,24.37156074,24.24397742,24.20483997,23.50252718,24.83199421,21.28252067,24.48890845,22.49702104,23.01476198,23.6208874,24.01967905,24.61984335,21.11524037,23.23783036,24.46078723,24.74676325,24.75706762,21.97059468,23.29999657,21.43040574,22.65419196,21.93986278,23.93091374,24.07261862,24.20100866,22.73638916,23.70780172,22.65155598,0,0,23.22599044,21.81143623,24.35413943,22.87232879,24.02651365,>>DiffResult,23.77955813,23.60589991,23.36582082,23.35971915,18.53861554,5.24094259,0.034320557,1,0.999147723,0.999944387,0.107601586,0.999670846,0.999972609,0.26418151,0.999972871,0.023271147,0.081698742,0.078208054,NO
CLU-N103-H7N6S1F4,20.83267442,0,20.84455847,23.49433118,0,0,0,0,0,21.49366046,20.62699593,0,20.7115825,20.28068322,21.26233938,23.12872019,20.39384448,0,21.86221864,0,0,0,0,0,0,0,0,20.26813676,0,0,0,21.65418871,0,21.8912176,22.0179233,21.86978824,22.11261231,0,21.66914014,21.99670428,21.71943695,21.61982896,21.90842934,0,20.50648568,0,0,0,0,0,0,0,0,0,0,>>DiffResult,11.74658044,2.026813676,15.32115746,17.15083619,0,17.15083619,0.000192052,0.995753875,0.840252496,0.014018908,0.003227739,0.747753228,0.026457011,0.008516224,0.05363426,0.011625184,0.986421241,0.001516951,YES
CLU-N103-H7N6S1F5,0,0,0,0,22.07400259,0,0,0,0,21.85430616,0,0,25.01105707,21.44750614,21.21936817,24.3875332,21.98613828,0,25.37246138,0,0,0,0,0,0,0,0,0,0,0,0,24.2361362,0,19.70941254,21.15432082,0,0,22.44270845,0,0,0,21.72075755,0,20.59797547,20.57451827,0,0,0,0,0,0,0,0,0,0,>>DiffResult,9.16761865,0,8.754257801,12.57865026,0,12.57865026,0.012053099,0.941002193,0.999957583,0.224571444,0.224571444,0.945562361,0.107691322,0.107691322,0.090995138,0.090995138,1,0.035761606,YES
CLU-N103-H8N5F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08303299,23.61164549,24.19223302,21.64399105,0,24.76627813,23.8850176,0,21.56536848,0,0,24.30592714,0,24.41354587,24.85533448,0,23.22436622,0,0,0,0,23.40773045,0,22.63453719,22.52374303,0,0,0,0,24.06492019,0,24.8050568,23.77996737,0,24.58699101,0,21.5446085,0,0,23.53960775,>>DiffResult,4.676545127,14.37914717,9.179037689,4.812984038,11.82562314,9.702602042,0.179865494,0.952869412,0.836518185,0.836415506,0.98401547,0.999999917,0.529865378,0.782919514,0.183293921,0.474732319,0.986016223,0.265745366,NO
CLU-N103-H8N6,24.12330304,22.37364557,21.08140978,24.50462035,0,20.85570866,0,0,22.33532501,22.6873204,0,0,20.61248443,21.01343173,22.32437713,0,0,22.32994368,20.25199485,0,24.85907165,0,21.69059558,0,22.17814956,18.61343834,21.18935488,0,22.14775534,22.15460336,0,22.81316924,0,0,0,0,0,0,0,0,0,0,0,0,0,22.358883,25.52860218,22.81376346,22.86238864,25.38186054,23.58320832,21.84450707,22.75039049,20.30034698,22.55115592,>>DiffResult,13.22467823,15.28329687,2.281316924,0,22.99751066,22.99751066,6.64E-06,0.989378824,0.01858485,0.014416475,2.79E-05,0.031935672,0.020699389,0.000150808,0.973709004,0.045232751,0.299121777,0.000118848,YES
CLU-N103-H8N6F3,0,0,0,0,23.72723278,21.52747514,0,0,0,22.41479804,23.02054065,0,21.73671348,23.50059912,0,0,0,0,0,0,0,21.56673967,23.49548607,0,0,0,21.73317398,0,0,0,22.79572551,0,0,0,0,0,21.9712048,0,0,0,0,22.20162913,24.44586412,0,23.93621846,21.36564648,0,0,0,0,0,0,0,21.51124933,0,>>DiffResult,6.796367961,6.679539972,4.476693031,14.11674234,4.28768958,9.829052761,0.481144195,0.447793835,0.978006412,0.989395379,0.999999358,0.625603054,0.688964922,0.428018706,0.999999833,0.970725239,0.985548267,0.563441872,NO
CLU-N103-H8N6F4,0,0,0,0,0,0,0,22.40923276,0,0,21.33894136,0,0,0,0,22.67133219,0,0,0,0,0,0,21.94945135,0,21.79805718,0,0,23.63068467,0,0,0,0,0,22.62082874,0,0,24.41842487,0,0,0,25.77269007,23.99612937,23.2662652,0,23.53172708,0,0,0,0,0,0,20.50022241,19.24201922,22.75290444,0,>>DiffResult,3.320975315,6.737819321,4.703925361,19.31336234,6.249514607,15.99238703,0.032588562,0.055737865,0.995753919,0.989294344,0.996257527,0.0131973,0.132967386,0.109187619,0.887411931,0.932492162,0.999960462,0.075597706,NO
CLU-N103-H8N6F5,21.70530362,0,0,0,0,21.75936841,0,0,0,21.48113545,0,20.76815508,0,0,0,22.710729,20.95749583,20.74259818,0,21.26622214,0,21.72652371,21.98665723,0,0,0,21.53487407,0,0,0,22.23640923,0,20.63884863,0,22.33314631,0,0,0,0,20.96340452,22.84467149,21.58008316,0,21.15267983,0,0,22.57899176,0,0,0,0,0,24.10500645,22.52339078,23.57010519,>>DiffResult,8.569550386,6.524805501,8.617180869,13.1154869,9.277749419,6.590681395,0.876558317,0.946360745,0.999999996,0.993242584,0.999927317,0.923999288,0.814872021,0.969481315,0.989302566,0.999830093,0.980999302,0.889296306,NO
CLU-N103-H8N7,27.22639318,27.50694378,25.39272848,25.88294389,26.74621668,27.01814453,23.71599903,26.01722324,26.57470737,27.48663338,28.15762742,24.45160851,27.34274989,27.07171568,27.37412507,27.36604268,27.73018739,26.74269473,27.39526633,24.69746147,27.06799914,26.69482747,27.00471644,25.38301005,27.60754643,24.91957062,26.50255264,25.78655298,25.77134467,26.45713713,27.09612357,26.78602661,24.86266303,26.72725322,27.18062106,27.38494546,27.39404947,24.7332016,26.89000793,26.66457143,27.11805293,26.59913918,26.35649097,27.31289596,26.92106754,25.98386851,25.98927708,26.5703412,26.12391131,26.63643382,26.45787993,24.72998236,26.42052796,26.33718944,28.07600797,>>DiffResult,26.59487064,26.31952576,26.57194634,26.86152932,26.33254196,0.542003557,0.823397311,0.983239902,0.99999697,0.978651111,0.982446602,0.982689777,0.85339347,0.864054887,0.951009826,0.958701194,0.999999823,0.845084685,NO
CLU-N103-H8N7F1,26.76472639,27.84455416,25.67092289,25.90727884,26.57871381,27.20126198,23.18591682,25.98301436,26.90091774,27.76776023,28.55811977,23.54665761,28.12706654,27.62050063,27.82762488,27.0524987,27.77623828,27.38716351,28.12025121,25.02153043,27.37999504,26.95225825,25.96067469,26.05457565,27.10223958,25.74021079,27.72614245,25.74866007,25.92506942,27.03081402,26.06909382,27.65676086,23.92735935,27.24380996,27.86213444,27.69396378,27.75065336,24.89686992,26.23267577,26.14908113,25.31121348,25.10223485,24.23868947,26.04141203,26.33142275,26.13794717,26.287212,26.55795829,25.53076584,26.33044325,27.32698729,25.17526965,27.19226534,26.6172911,27.76961187,>>DiffResult,26.74213594,26.562064,26.54824024,25.40499452,26.49257518,1.337141423,0.294415784,0.413939238,0.993308326,0.999999894,0.999972232,0.181555216,0.401692006,0.464737655,0.994961983,0.982652042,0.999932774,0.384202166,NO
CLU-N103-H8N7F2,26.4724492,27.48229845,25.06009759,26.67521592,24.98616958,26.92355479,23.04134729,24.52998969,26.84279894,27.16607041,28.2027951,22.4397991,28.36627932,26.90588833,26.27529887,26.51756443,27.05948832,27.49602511,27.93305551,24.32079696,26.86190283,26.52351139,26.57522961,25.12741693,27.22078745,25.43870969,26.82729569,24.41344797,25.3444205,25.54572688,26.76356242,26.41695527,23.38741835,26.28374866,26.49017611,26.62036177,27.44436332,23.93425242,26.10464611,26.14271602,25.11994519,23.66247218,24.78686621,26.40795261,26.195643,25.58730398,25.5544969,25.64046092,25.02423776,25.42266667,26.45930178,24.02789171,26.23046777,26.24798094,27.2950481,>>DiffResult,26.23484914,25.98784489,25.95882005,25.23457584,25.74898565,1.000273308,0.618184265,0.850825159,0.982317592,0.999998594,0.996393101,0.552196278,0.831872548,0.951996071,0.988330441,0.873410171,0.994056443,0.673492457,NO
CLU-N103-H8N7F3,22.45159201,22.02119741,0,21.61357469,0,20.38894493,0,0,0,21.38482597,0,20.53194533,20.28303435,22.66751793,20.04912376,0,0,21.36231535,20.9089663,20.94244892,0,0,0,0,20.13964407,0,0,0,20.90857819,0,21.47406067,21.39707129,21.46280897,0,0,21.06711552,21.88090793,0,0,0,0,0,0,0,0,19.8317902,0,0,20.77416902,0,0,0,0,0,0,>>DiffResult,12.73027435,4.104822226,10.72819644,0,4.060595922,12.73027435,0.023967437,0.266977186,0.983163824,0.545174538,0.538710153,0.078475709,0.936137757,0.938469451,0.159315655,0.155592695,0.999999997,0.059995576,NO
CLU-N103-H8N7S1,24.19481029,23.41897612,23.38159753,21.23205765,21.70602327,20.6131203,21.30599629,22.73060608,0,23.4588516,25.15187931,0,26.32375508,24.38153382,25.13695542,24.81410733,0,0,26.21181537,20.86917975,21.50882204,0,0,22.46386565,21.97448489,0,22.69509509,0,21.10410439,22.86950993,23.77020532,0,0,24.50320802,24.84039095,22.7687014,0,22.18400088,24.73243915,20.46918172,0,19.82278178,24.26922057,22.88387654,21.17073291,0,0,22.45545674,0,22.03720451,23.66265848,0,23.00517281,22.42937002,24.3556929,>>DiffResult,18.74656326,13.2615882,16.32681274,17.62932236,13.79455555,5.484975061,0.657532221,0.999456361,0.977524407,0.968508148,0.984386238,0.999575011,0.946124591,0.966003094,0.684373017,0.759471832,0.999965077,0.703896673,NO
CLU-N103-H8N7S1F1,0,22.01167312,22.49987867,20.12984877,0,22.56714099,0,0,23.18461632,24.19547355,22.14513288,18.99405018,23.97342963,23.05884438,22.86221731,21.03916234,23.94043681,0,22.52840667,0,21.10960605,0,0,0,21.52707396,0,21.52665388,0,0,0,0,0,0,21.89671716,0,22.57336295,0,0,21.84612792,22.07301578,21.88504517,22.07281092,22.19609299,21.15082601,19.64155223,0,0,0,0,0,21.43219451,0,0,19.8527405,0,>>DiffResult,15.65651558,6.416333389,8.838922382,21.38926546,4.128493501,17.26077196,0.004590589,0.161010494,0.402577418,0.982129806,0.826518895,0.777893188,0.060937446,0.021097203,0.132772379,0.033393295,0.985561096,0.016311241,YES
CLU-N103-H9N6,24.1844733,24.08938427,21.25680022,25.46257445,21.80062187,21.3789346,0,20.92512605,23.03302863,23.72001348,21.73377877,20.77477981,0,21.7800204,24.25875729,22.14666318,0,23.43261908,0,20.73902871,26.65495669,22.90022292,22.25227209,21.00856523,22.04931812,20.5396343,22.2525474,21.38314418,22.71508002,23.21598509,0,23.51465043,0,0,0,21.28785035,0,0,0,0,0,0,0,0,0,22.86032629,26.37445836,23.7636903,23.69381187,26.02780071,24.34023788,22.44410254,23.70461303,23.0650622,23.47589309,>>DiffResult,18.03583021,22.4971726,4.480250078,0,23.97499963,23.97499963,1.89E-09,0.776143299,8.55E-05,6.38E-06,1.21E-06,5.09E-05,4.31E-06,1.11E-06,0.487480981,0.209337097,0.989961377,2.20E-07,YES
CLU-N103-H9N7,26.70973338,26.1034406,23.43491405,26.77694678,25.60213457,25.7855636,20.12962207,25.53404848,25.46859602,27.02127332,25.33411328,18.52321087,24.61868825,24.52115474,24.73716622,25.67627857,24.52354449,24.40772038,24.5523428,20.28286383,25.86315006,25.24853403,25.85550272,22.13693372,26.53155074,0,26.49819658,21.42523238,25.50346392,26.50314932,22.50393621,26.11562314,0,22.7158246,24.79625755,26.38397026,25.5534722,0,24.63094744,24.07597445,25.38815821,25.76783329,24.98145539,25.6827131,25.47538236,20.46688923,24.85500112,23.4232193,23.62665355,22.79943722,24.26297754,21.8113682,23.85097777,21.93826836,21.84778231,>>DiffResult,24.48716782,22.55657135,19.67760059,25.45910847,22.88825746,5.781507883,0.255009912,0.377552007,0.222443171,0.802637215,0.732137754,0.997229201,0.891595553,0.92746948,0.911270153,0.953445129,0.999938412,0.344233934,NO
CLU-N103-H9N7F1,26.63457526,26.00185139,24.39398247,26.4724689,24.88896685,22.94580857,0,21.45670335,25.30544788,26.78781019,24.87508468,0,24.85236179,25.02291476,25.67229163,22.72517698,23.59698084,26.17745472,25.07768669,0,24.36521301,23.31087879,22.22236755,25.00314644,25.26795531,0,26.05073394,23.51526105,24.93326743,26.17055045,22.02487212,26.62218494,0,25.23480483,22.55983463,26.1672997,24.72967694,0,20.79231098,0,21.55544785,0,20.69649513,23.4709358,23.5045915,22.91673806,23.22641556,24.29635681,22.77039036,0,24.29993417,0,22.87553504,21.74313369,22.26703539,>>DiffResult,21.14437835,22.0839374,16.81309841,17.84549406,18.43955391,5.270838984,0.68184317,0.999665492,0.775243038,0.74012022,0.995597441,0.959308438,0.929162852,0.999962855,0.999093558,0.950272194,0.915699836,0.724636367,NO
CLU-N103-H9N7F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.97409516,0,0,0,0,0,0,21.03298371,0,0,0,0,21.22750443,0,0,0,0,0,0,0,0,0,0,0,0,22.03526556,23.79930466,23.41610451,0,23.38793747,0,0,0,0,0,0,0,0,0,0,>>DiffResult,1.148704758,4.226048814,0,18.52772244,0,18.52772244,1.53E-06,3.11E-06,0.98528046,0.475593513,1,1.74E-06,0.000321268,3.11E-06,0.640219869,0.98528046,0.475593513,3.32E-05,YES
CLU-N103-H9N8F3,24.57742782,24.9870029,24.08586576,0,24.14758152,24.41660442,22.75577045,23.51452603,23.92677027,24.34972101,25.93865228,0,25.4020521,25.00674045,25.36725314,24.72578383,24.44373892,24.44327476,25.98362409,22.09996941,24.95850824,23.89245218,24.19229194,24.0625646,25.08588342,20.71027457,24.46375253,22.46927374,23.30360451,21.98329907,24.2963111,25.10672246,0,24.74961688,25.22201925,24.92176165,25.23235686,23.01530181,23.85268517,23.23717528,24.36065592,0,0,24.3144281,24.10014279,23.45364223,24.26743047,21.95444927,22.8340275,23.86608073,24.57002458,23.75320786,24.21360368,22.18053659,24.58403568,>>DiffResult,22.00861796,23.51219048,21.96339505,14.55504536,23.56770386,9.012658495,0.162526136,0.297453085,0.99999998,0.986667778,0.984789712,0.209252686,0.138689897,0.134538768,0.979607246,0.976698187,0.999999975,0.247709326,NO
