protein,Raw_NS.1,Raw_NS.2,Raw_NS.3,Raw_NS.4,Raw_NS.5,Raw_NS.6,Raw_NS.7,Raw_NS.8,Raw_NS.9,Raw_NS.10,Raw_NS.11,Raw_NS.12,Raw_NS.13,Raw_NS.14,Raw_NS.15,Raw_NS.16,Raw_NS.17,Raw_NS.18,Raw_NS.19,Raw_NS.20,Raw_OA.1,Raw_OA.2,Raw_OA.3,Raw_OA.4,Raw_OA.5,Raw_OA.6,Raw_OA.7,Raw_OA.8,Raw_OA.9,Raw_OA.10,Raw_HS.1,Raw_HS.2,Raw_HS.3,Raw_HS.4,Raw_HS.5,Raw_HS.6,Raw_HS.7,Raw_HS.8,Raw_HS.9,Raw_HS.10,Raw_MA.1,Raw_MA.2,Raw_MA.3,Raw_MA.4,Raw_MA.5,Raw_SCO.1,Raw_SCO.2,Raw_SCO.3,Raw_SCO.4,Raw_SCO.5,Raw_SCO.6,Raw_SCO.7,Raw_SCO.8,Raw_SCO.9,Raw_SCO.10,>>NormaExpression,NS.1,NS.2,NS.3,NS.4,NS.5,NS.6,NS.7,NS.8,NS.9,NS.10,NS.11,NS.12,NS.13,NS.14,NS.15,NS.16,NS.17,NS.18,NS.19,NS.20,OA.1,OA.2,OA.3,OA.4,OA.5,OA.6,OA.7,OA.8,OA.9,OA.10,HS.1,HS.2,HS.3,HS.4,HS.5,HS.6,HS.7,HS.8,HS.9,HS.10,MA.1,MA.2,MA.3,MA.4,MA.5,SCO.1,SCO.2,SCO.3,SCO.4,SCO.5,SCO.6,SCO.7,SCO.8,SCO.9,SCO.10,>>DiffResult,NS_mean,OA_mean,HS_mean,MA_mean,SCO_mean,Log2FC(Max/Min),ANOVA_pvalue,MA-HS,NS-HS,OA-HS,SCO-HS,NS-MA,OA-MA,SCO-MA,OA-NS,SCO-NS,SCO-OA,ANOVA_p.adjust,Diff
CLU-N103-H7N6F6,23171226.09,27994075.27,11974061.49,12662928.06,19778866.33,25892638.64,1287037.592,10073562.63,12824544.51,27654448.51,43341577.69,1836377.137,20440213.39,22776336.26,32534508.39,22133040.41,23832141.79,12048429.36,32513556.59,2547273.293,21705550.51,19868468.65,19336721.82,11884081.45,29865864.84,2550803.09,23544853.22,5919405.253,8474881.78,12900174.92,17007632.14,25781686.24,2271540.717,9891995.945,23090357.36,28152568.11,28354366.16,4109679.139,10327562.33,2826147.303,6600718.971,4023061.676,15992738.36,17643317.68,19285438.09,6987713.148,13701225.61,6588669.638,,,9811146.446,3680411.982,21445020.61,7678156.843,17088395,>>NormaExpression,24.46583111,24.73861824,23.51340937,23.59410782,24.23745647,24.62603871,20.29562388,23.26407081,23.61240436,24.72100829,25.36924837,20.80843173,24.28490699,24.44103243,24.95546746,24.39969838,24.50640534,23.52234187,24.95453809,21.28052289,24.37156074,24.24397742,24.20483997,23.50252718,24.83199421,21.28252067,24.48890845,22.49702104,23.01476198,23.6208874,24.01967905,24.61984335,21.11524037,23.23783036,24.46078723,24.74676325,24.75706762,21.97059468,23.29999657,21.43040574,22.65419196,21.93986278,23.93091374,24.07261862,24.20100866,22.73638916,23.70780172,22.65155598,0,0,23.22599044,21.81143623,24.35413943,22.87232879,24.02651365,>>DiffResult,23.77955813,23.60589991,23.36582082,23.35971915,18.53861554,5.24094259,0.034320557,1,0.999147723,0.999944387,0.107601586,0.999670846,0.999972609,0.26418151,0.999972871,0.023271147,0.081698742,0.078208054,NO
CLU-N103-H7N6S1F4,1867495.907,,1882942.744,11816758.96,,,,,,2952815.872,1619363.057,,1717146.454,1273777.702,2515369.314,9171460.287,1377712.505,,3812268.39,,,,,,,,,1262748.255,,,,3300351.551,,3889672.433,4246735.886,3832323.365,4534814.135,,3334732.736,4184732.396,3453042.204,3222677.769,3936355.176,,1489590.876,,,,,,,,,,,>>NormaExpression,20.83267442,0,20.84455847,23.49433118,0,0,0,0,0,21.49366046,20.62699593,0,20.7115825,20.28068322,21.26233938,23.12872019,20.39384448,0,21.86221864,0,0,0,0,0,0,0,0,20.26813676,0,0,0,21.65418871,0,21.8912176,22.0179233,21.86978824,22.11261231,0,21.66914014,21.99670428,21.71943695,21.61982896,21.90842934,0,20.50648568,0,0,0,0,0,0,0,0,0,0,>>DiffResult,11.74658044,2.026813676,15.32115746,17.15083619,0,17.15083619,0.000192052,0.995753875,0.840252496,0.014018908,0.003227739,0.747753228,0.026457011,0.008516224,0.05363426,0.011625184,0.986421241,0.001516951,YES
CLU-N103-H7N6S1F5,,,,,4415061.984,,,,,3791417.178,,,33812586.05,2859845.225,2441552.861,21947193.49,4154196.233,,43438210.94,,,,,,,,,,,,,19760774.13,,857282.3153,2333914.376,,,5700702.15,,,,3456204.452,,1587114.256,1561517.546,,,,,,,,,,,>>NormaExpression,0,0,0,0,22.07400259,0,0,0,0,21.85430616,0,0,25.01105707,21.44750614,21.21936817,24.3875332,21.98613828,0,25.37246138,0,0,0,0,0,0,0,0,0,0,0,0,24.2361362,0,19.70941254,21.15432082,0,0,22.44270845,0,0,0,21.72075755,0,20.59797547,20.57451827,0,0,0,0,0,0,0,0,0,0,>>DiffResult,9.16761865,0,8.754257801,12.57865026,0,12.57865026,0.012053099,0.941002193,0.999957583,0.224571444,0.224571444,0.945562361,0.107691322,0.107691322,0.090995138,0.090995138,1,0.035761606,YES
CLU-N103-H8N5F4,,,,,,,,,,,,,,,,17771140.18,12817800.45,19168484.46,3277105.321,,28535966.2,15491972.44,,3103291.977,,,20740208.61,,22346503.94,30352971.68,,9800107.019,,,,,11128303.35,,6511402.852,6030067.807,,,,,17549421.15,,29313395.32,14404011.02,,25201232.49,,3058956.222,,,12193488.78,>>NormaExpression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08303299,23.61164549,24.19223302,21.64399105,0,24.76627813,23.8850176,0,21.56536848,0,0,24.30592714,0,24.41354587,24.85533448,0,23.22436622,0,0,0,0,23.40773045,0,22.63453719,22.52374303,0,0,0,0,24.06492019,0,24.8050568,23.77996737,0,24.58699101,0,21.5446085,0,0,23.53960775,>>DiffResult,4.676545127,14.37914717,9.179037689,4.812984038,11.82562314,9.702602042,0.179865494,0.952869412,0.836518185,0.836415506,0.98401547,0.999999917,0.529865378,0.782919514,0.183293921,0.474732319,0.986016223,0.265745366,NO
CLU-N103-H8N6,18274175.29,5434234.173,2218893.716,23802673.5,,1897551.879,,,5291791.31,6754044.185,,,1603156.153,2116767.005,5251786.574,,,5272089.426,1248698.457,,30431700.28,,3384696.744,,4745567.703,401053.3781,2391284.375,,4646635.442,4668743.99,,7369672.32,,,,,,,,,,,,,,5378911.147,48403302.69,7372708.398,7625436.275,43722134.87,12567620.63,3765752.32,7055858.907,1291258.006,6145741.63,>>NormaExpression,24.12330304,22.37364557,21.08140978,24.50462035,0,20.85570866,0,0,22.33532501,22.6873204,0,0,20.61248443,21.01343173,22.32437713,0,0,22.32994368,20.25199485,0,24.85907165,0,21.69059558,0,22.17814956,18.61343834,21.18935488,0,22.14775534,22.15460336,0,22.81316924,0,0,0,0,0,0,0,0,0,0,0,0,0,22.358883,25.52860218,22.81376346,22.86238864,25.38186054,23.58320832,21.84450707,22.75039049,20.30034698,22.55115592,>>DiffResult,13.22467823,15.28329687,2.281316924,0,22.99751066,22.99751066,6.64E-06,0.989378824,0.01858485,0.014416475,2.79E-05,0.031935672,0.020699389,0.000150808,0.973709004,0.045232751,0.299121777,0.000118848,YES
CLU-N103-H8N6F3,,,,,13887010.08,3022843.086,,,,5591476.196,8508895.736,,3494641.583,11868209.8,,,,,,,,3106242.867,11826222.14,,,,3486078.366,,,,7281101.629,,,,,,4111417.491,,,,,4823432.772,22852743.81,,16051651.11,2702093.083,,,,,,,,2989036.001,,>>NormaExpression,0,0,0,0,23.72723278,21.52747514,0,0,0,22.41479804,23.02054065,0,21.73671348,23.50059912,0,0,0,0,0,0,0,21.56673967,23.49548607,0,0,0,21.73317398,0,0,0,22.79572551,0,0,0,0,0,21.9712048,0,0,0,0,22.20162913,24.44586412,0,23.93621846,21.36564648,0,0,0,0,0,0,0,21.51124933,0,>>DiffResult,6.796367961,6.679539972,4.476693031,14.11674234,4.28768958,9.829052761,0.481144195,0.447793835,0.978006412,0.989395379,0.999999358,0.625603054,0.688964922,0.428018706,0.999999833,0.970725239,0.985548267,0.563441872,NO
CLU-N103-H8N6F4,,,,,,,,5569948.287,,,2652535.837,,,,,6679607.834,,,,,,,4049889.175,,3646438.889,,,12988077.5,,,,,,6449824.691,,,22422204.75,,,,57326149.46,16732263.43,10088896.59,,12127063.89,,,,,,,1483138.028,620046.5014,7068164.743,,>>NormaExpression,0,0,0,0,0,0,0,22.40923276,0,0,21.33894136,0,0,0,0,22.67133219,0,0,0,0,0,0,21.94945135,0,21.79805718,0,0,23.63068467,0,0,0,0,0,22.62082874,0,0,24.41842487,0,0,0,25.77269007,23.99612937,23.2662652,0,23.53172708,0,0,0,0,0,0,20.50022241,19.24201922,22.75290444,0,>>DiffResult,3.320975315,6.737819321,4.703925361,19.31336234,6.249514607,15.99238703,0.032588562,0.055737865,0.995753919,0.989294344,0.996257527,0.0131973,0.132967386,0.109187619,0.887411931,0.932492162,0.999960462,0.075597706,NO
CLU-N103-H8N6F5,3419379.685,,,,,3549951.796,,,,2927291.451,,1785818.802,,,,6864526.571,2036266.731,1754462.109,,2522148.117,,3470045.851,4155690.791,,,,3038385.715,,,,4941127.777,,1632722.011,,5283805.908,,,,,2044623.556,7532364.04,3135105.803,,2331261.178,,,6265470.971,,,,,,18043881.34,6028595.683,12453993.34,>>NormaExpression,21.70530362,0,0,0,0,21.75936841,0,0,0,21.48113545,0,20.76815508,0,0,0,22.710729,20.95749583,20.74259818,0,21.26622214,0,21.72652371,21.98665723,0,0,0,21.53487407,0,0,0,22.23640923,0,20.63884863,0,22.33314631,0,0,0,0,20.96340452,22.84467149,21.58008316,0,21.15267983,0,0,22.57899176,0,0,0,0,0,24.10500645,22.52339078,23.57010519,>>DiffResult,8.569550386,6.524805501,8.617180869,13.1154869,9.277749419,6.590681395,0.876558317,0.946360745,0.999999996,0.993242584,0.999927317,0.923999288,0.814872021,0.969481315,0.989302566,0.999830093,0.980999302,0.889296306,NO
CLU-N103-H8N7,157022186.1,190728311.1,44052740.73,61878885.24,112567620.9,135916420,13779296.77,67914825.89,99950285.76,188062031.9,299426655.7,22943918.1,170211100.2,141058236.4,173953330.5,172981519.5,222647687.6,112293152.4,176521212,27206752.42,140695323.2,108628502.7,134657228.1,43756985.57,204502952,31734979.5,95074336.13,57879653.65,57272714.34,92128048.59,143464998.5,115717081.4,30507549.86,111097661.5,152118570.8,175262907,176372385.9,27889167.83,124365227.4,106374080.1,145662363.8,101657341.5,85920017.33,166725085.8,127071700.4,66362664.87,66611921.18,99648253.32,73127529.53,104319513.6,92175494.56,27827004.99,89819661.44,84778165.83,282957074.2,>>NormaExpression,27.22639318,27.50694378,25.39272848,25.88294389,26.74621668,27.01814453,23.71599903,26.01722324,26.57470737,27.48663338,28.15762742,24.45160851,27.34274989,27.07171568,27.37412507,27.36604268,27.73018739,26.74269473,27.39526633,24.69746147,27.06799914,26.69482747,27.00471644,25.38301005,27.60754643,24.91957062,26.50255264,25.78655298,25.77134467,26.45713713,27.09612357,26.78602661,24.86266303,26.72725322,27.18062106,27.38494546,27.39404947,24.7332016,26.89000793,26.66457143,27.11805293,26.59913918,26.35649097,27.31289596,26.92106754,25.98386851,25.98927708,26.5703412,26.12391131,26.63643382,26.45787993,24.72998236,26.42052796,26.33718944,28.07600797,>>DiffResult,26.59487064,26.31952576,26.57194634,26.86152932,26.33254196,0.542003557,0.823397311,0.983239902,0.99999697,0.978651111,0.982446602,0.982689777,0.85339347,0.864054887,0.951009826,0.958701194,0.999999823,0.845084685,NO
CLU-N103-H8N7F1,114021162.4,241016079.3,53421711.56,62931492.27,100228238.7,154310604.7,9542373.112,66323386.74,125309255,228522379.9,395230698.5,12253219.17,293150552.1,206347486.9,238204408.5,139191771.8,229869254,175532569.5,291768967.4,34058944.35,174662545.1,129848872.2,65304300.77,69696150.21,144074480.3,56049989.22,222024316,56379214.64,63712335.96,137115270.5,70401059.29,211599481.9,15953385.35,158929308,243971000.2,217126980.8,225828660.8,31239539.96,78853734.52,74414535.39,41632690.11,36018501.21,19795777.53,69063111.83,84439969.93,73842453.59,81891590.8,98796614.66,48475949.07,84382660.17,168361529.2,37888839.49,153351318.6,102944469.8,228815868.4,>>NormaExpression,26.76472639,27.84455416,25.67092289,25.90727884,26.57871381,27.20126198,23.18591682,25.98301436,26.90091774,27.76776023,28.55811977,23.54665761,28.12706654,27.62050063,27.82762488,27.0524987,27.77623828,27.38716351,28.12025121,25.02153043,27.37999504,26.95225825,25.96067469,26.05457565,27.10223958,25.74021079,27.72614245,25.74866007,25.92506942,27.03081402,26.06909382,27.65676086,23.92735935,27.24380996,27.86213444,27.69396378,27.75065336,24.89686992,26.23267577,26.14908113,25.31121348,25.10223485,24.23868947,26.04141203,26.33142275,26.13794717,26.287212,26.55795829,25.53076584,26.33044325,27.32698729,25.17526965,27.19226534,26.6172911,27.76961187,>>DiffResult,26.74213594,26.562064,26.54824024,25.40499452,26.49257518,1.337141423,0.294415784,0.413939238,0.993308326,0.999999894,0.999972232,0.181555216,0.401692006,0.464737655,0.994961983,0.982652042,0.999932774,0.384202166,NO
CLU-N103-H8N7F2,93111058.28,187497802.3,34981711.76,107161831.5,33234297.82,127290964.6,8632500.733,24224937.88,120361514.8,150592052.9,308949350.4,5689217.677,346019789.9,125741734,81218151.25,96068785.37,139867768.9,189290282.2,256263985.6,20955082.8,121965917.6,96465609.53,99986473.16,36652719.05,156413244.7,45479392.97,119075030.4,22344987.56,42602077.86,48981270.06,113929206.9,89597506.72,10972722.71,81695237.69,94262205.17,103163812.7,182631871.5,16029791.56,72157503.59,74086944.72,36463384.66,13277425.21,28946110.21,89040144.25,76855383.58,50413400.94,49279929.84,52305556.88,34122918.76,44976455.61,92266383.07,17104725.58,78733144.09,79694726.3,164675203.8,>>NormaExpression,26.4724492,27.48229845,25.06009759,26.67521592,24.98616958,26.92355479,23.04134729,24.52998969,26.84279894,27.16607041,28.2027951,22.4397991,28.36627932,26.90588833,26.27529887,26.51756443,27.05948832,27.49602511,27.93305551,24.32079696,26.86190283,26.52351139,26.57522961,25.12741693,27.22078745,25.43870969,26.82729569,24.41344797,25.3444205,25.54572688,26.76356242,26.41695527,23.38741835,26.28374866,26.49017611,26.62036177,27.44436332,23.93425242,26.10464611,26.14271602,25.11994519,23.66247218,24.78686621,26.40795261,26.195643,25.58730398,25.5544969,25.64046092,25.02423776,25.42266667,26.45930178,24.02789171,26.23046777,26.24798094,27.2950481,>>DiffResult,26.23484914,25.98784489,25.95882005,25.23457584,25.74898565,1.000273308,0.618184265,0.850825159,0.982317592,0.999998594,0.996393101,0.552196278,0.831872548,0.951996071,0.988330441,0.873410171,0.994056443,0.673492457,NO
CLU-N103-H8N7F3,5735913.191,4256384.553,,3208737.289,,1373041.578,,,,2738255.13,,1516111.452,1275855.241,6661971.346,1084893.824,,,2695861.258,1968909.766,2015139.389,,,,,1155145.237,,,,1968380.174,,2912971.546,2761595.835,2890341.383,,,2197017.404,3861975.437,,,,,,,,,933175.3399,,,1793278.607,,,,,,,>>NormaExpression,22.45159201,22.02119741,0,21.61357469,0,20.38894493,0,0,0,21.38482597,0,20.53194533,20.28303435,22.66751793,20.04912376,0,0,21.36231535,20.9089663,20.94244892,0,0,0,0,20.13964407,0,0,0,20.90857819,0,21.47406067,21.39707129,21.46280897,0,0,21.06711552,21.88090793,0,0,0,0,0,0,0,0,19.8317902,0,0,20.77416902,0,0,0,0,0,0,>>DiffResult,12.73027435,4.104822226,10.72819644,0,4.060595922,12.73027435,0.023967437,0.266977186,0.983163824,0.545174538,0.538710153,0.078475709,0.936137757,0.938469451,0.159315655,0.155592695,0.999999997,0.059995576,NO
CLU-N103-H8N7S1,19202758.19,11215386.38,10928540.45,2463122.694,3421085.782,1603862.91,2592649.472,6959758.797,,11529698.7,37279502.59,,83992377.25,21856116.6,36895854.16,29497866.5,,,77721766.03,1915353.164,2984011.266,,,5784919.306,4120775.803,,6790540.026,,2254074.473,7663169.268,14306874.75,,,23779383.26,30040196.32,7145983.734,,4764853.983,27874432.48,1451567.997,,927366.5913,20219170.88,7739861.703,2360616.574,,,5751299.31,,4303873.294,13279139.93,,8418738.485,5648239.236,21468124.61,>>NormaExpression,24.19481029,23.41897612,23.38159753,21.23205765,21.70602327,20.6131203,21.30599629,22.73060608,0,23.4588516,25.15187931,0,26.32375508,24.38153382,25.13695542,24.81410733,0,0,26.21181537,20.86917975,21.50882204,0,0,22.46386565,21.97448489,0,22.69509509,0,21.10410439,22.86950993,23.77020532,0,0,24.50320802,24.84039095,22.7687014,0,22.18400088,24.73243915,20.46918172,0,19.82278178,24.26922057,22.88387654,21.17073291,0,0,22.45545674,0,22.03720451,23.66265848,0,23.00517281,22.42937002,24.3556929,>>DiffResult,18.74656326,13.2615882,16.32681274,17.62932236,13.79455555,5.484975061,0.657532221,0.999456361,0.977524407,0.968508148,0.984386238,0.999575011,0.946124591,0.966003094,0.684373017,0.759471832,0.999965077,0.703896673,NO
CLU-N103-H8N7S1F1,,4228377.569,5931141.791,1147328.838,,6214215.134,,,9533775.161,19211588.47,4638196.7,522129.2371,16471053.95,8737833.708,7624530.759,2154858.45,16098653.83,,6049592.066,,2262686.712,,,,3022002.624,,3021122.814,,,,,,,3904528.179,,6241073.282,,,3769985.478,4412043.11,3873066.376,4411416.633,4804958.989,2328267.504,817891.7975,,,,,,2829653.555,,,946825.4601,,>>NormaExpression,0,22.01167312,22.49987867,20.12984877,0,22.56714099,0,0,23.18461632,24.19547355,22.14513288,18.99405018,23.97342963,23.05884438,22.86221731,21.03916234,23.94043681,0,22.52840667,0,21.10960605,0,0,0,21.52707396,0,21.52665388,0,0,0,0,0,0,21.89671716,0,22.57336295,0,0,21.84612792,22.07301578,21.88504517,22.07281092,22.19609299,21.15082601,19.64155223,0,0,0,0,0,21.43219451,0,0,19.8527405,0,>>DiffResult,15.65651558,6.416333389,8.838922382,21.38926546,4.128493501,17.26077196,0.004590589,0.161010494,0.402577418,0.982129806,0.826518895,0.777893188,0.060937446,0.021097203,0.132772379,0.033393295,0.985561096,0.016311241,YES
CLU-N103-H9N6,19065661.2,17849547.77,2505730.193,46237960.22,3652926.958,2727096.036,,1991087.683,8582868.512,13817692.46,3487540.056,1794037.981,,3601134.377,20073059.87,4643119.147,,11321948.71,,1750126.641,105667514.7,7828056.47,4995756.748,2109638.748,4340162.987,1524213.273,4996710.196,2735064.935,6885260.497,9743339.746,,11984366.5,,,,2560243.835,,,,,,,,,,7614543.423,86996760.67,14242412.46,13569006.57,68414589.94,21239372.6,5706213.477,13670976.18,8775573.859,11666698.01,>>NormaExpression,24.1844733,24.08938427,21.25680022,25.46257445,21.80062187,21.3789346,0,20.92512605,23.03302863,23.72001348,21.73377877,20.77477981,0,21.7800204,24.25875729,22.14666318,0,23.43261908,0,20.73902871,26.65495669,22.90022292,22.25227209,21.00856523,22.04931812,20.5396343,22.2525474,21.38314418,22.71508002,23.21598509,0,23.51465043,0,0,0,21.28785035,0,0,0,0,0,0,0,0,0,22.86032629,26.37445836,23.7636903,23.69381187,26.02780071,24.34023788,22.44410254,23.70461303,23.0650622,23.47589309,>>DiffResult,18.03583021,22.4971726,4.480250078,0,23.97499963,23.97499963,1.89E-09,0.776143299,8.55E-05,6.38E-06,1.21E-06,5.09E-05,4.31E-06,1.11E-06,0.487480981,0.209337097,0.989961377,2.20E-07,YES
CLU-N103-H9N7,109756669.4,72097234.33,11339973.42,114991084.1,50934312.66,57839974.26,1147148.564,48586374.48,46431352.99,136211504.1,42298795.37,376739.3078,25761052.38,24077039.64,27965914.41,53620396.31,24116955.08,22256452.42,24603201.74,1275704.453,61035701.82,39862642.03,60713023.93,4611911.537,97004660.44,,94787702.62,2816031.161,47567203.85,95113666.03,5947846.433,72708622.07,,6888814.929,29135152.03,87572238.14,49244940.51,,25980887.58,17684405.33,43913408.28,57133487.56,33125877.74,53860081.28,46650277.52,1449263.241,30345958.95,11248421.05,12951837.4,7299858.283,20131864.71,3680238.433,15130723.93,4018617.967,3774311.153,>>NormaExpression,26.70973338,26.1034406,23.43491405,26.77694678,25.60213457,25.7855636,20.12962207,25.53404848,25.46859602,27.02127332,25.33411328,18.52321087,24.61868825,24.52115474,24.73716622,25.67627857,24.52354449,24.40772038,24.5523428,20.28286383,25.86315006,25.24853403,25.85550272,22.13693372,26.53155074,0,26.49819658,21.42523238,25.50346392,26.50314932,22.50393621,26.11562314,0,22.7158246,24.79625755,26.38397026,25.5534722,0,24.63094744,24.07597445,25.38815821,25.76783329,24.98145539,25.6827131,25.47538236,20.46688923,24.85500112,23.4232193,23.62665355,22.79943722,24.26297754,21.8113682,23.85097777,21.93826836,21.84778231,>>DiffResult,24.48716782,22.55657135,19.67760059,25.45910847,22.88825746,5.781507883,0.255009912,0.377552007,0.222443171,0.802637215,0.732137754,0.997229201,0.891595553,0.92746948,0.911270153,0.953445129,0.999938412,0.344233934,NO
CLU-N103-H9N7F1,104185209.7,67195038.13,22045523.51,93112330.12,31068877.93,8079353.289,,2878135.034,41466640.7,115860228.5,30771354.8,,30290493.43,34091641.13,53472418.71,6933617.257,12688170.47,75892537.83,35410813.56,,21610257.81,10405757.49,4893269.325,33627691.38,40402893.33,,69510805.11,11989439.92,32037703.02,75530208.27,4267239.867,103294265.4,,39485094.15,6182823.529,75360211.83,27821114.6,,1815971.575,,3082025.532,,1699282.495,11626678.53,11901098.24,7918182.456,9814037.887,20603080.75,7154354.428,,20654232.26,,7695239.792,3510227.92,5047141.512,>>NormaExpression,26.63457526,26.00185139,24.39398247,26.4724689,24.88896685,22.94580857,0,21.45670335,25.30544788,26.78781019,24.87508468,0,24.85236179,25.02291476,25.67229163,22.72517698,23.59698084,26.17745472,25.07768669,0,24.36521301,23.31087879,22.22236755,25.00314644,25.26795531,0,26.05073394,23.51526105,24.93326743,26.17055045,22.02487212,26.62218494,0,25.23480483,22.55983463,26.1672997,24.72967694,0,20.79231098,0,21.55544785,0,20.69649513,23.4709358,23.5045915,22.91673806,23.22641556,24.29635681,22.77039036,0,24.29993417,0,22.87553504,21.74313369,22.26703539,>>DiffResult,21.14437835,22.0839374,16.81309841,17.84549406,18.43955391,5.270838984,0.68184317,0.999665492,0.775243038,0.74012022,0.995597441,0.959308438,0.929162852,0.999962855,0.999093558,0.950272194,0.915699836,0.724636367,NO
CLU-N103-H9N7F4,,,,,,,,,,,,,,,,8239326.526,,,,,,,2145649.564,,,,,2455361.202,,,,,,,,,,,,,4298092.875,14598376.14,11193085,,10976671.73,,,,,,,,,,,>>NormaExpression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.97409516,0,0,0,0,0,0,21.03298371,0,0,0,0,21.22750443,0,0,0,0,0,0,0,0,0,0,0,0,22.03526556,23.79930466,23.41610451,0,23.38793747,0,0,0,0,0,0,0,0,0,0,>>DiffResult,1.148704758,4.226048814,0,18.52772244,0,18.52772244,1.53E-06,3.11E-06,0.98528046,0.475593513,1,1.74E-06,0.000321268,3.11E-06,0.640219869,0.98528046,0.475593513,3.32E-05,YES
CLU-N103-H9N8F3,25034733.47,33253499.89,17806068.52,,18584305.55,22393929.31,7082220.085,11983333.15,15946872.57,21379443.19,64315015.16,,44338359.96,33711568.31,43281678.44,27746140.73,22819104.68,22811764.25,66351422.7,4495247.405,32603153.83,15572012.71,19169267.34,17520790.29,35612574.01,1715590.41,23137865.86,5806645.351,10353422.16,4146028.846,20602428.01,36130713.65,,28208308.57,39136711.86,31783212.28,39418152.52,8478053.474,15148641.34,9887505.305,21542104.45,,,20862779.29,17983153.71,11488141.64,20194098.36,4063943.509,7476995.897,15289952.95,24906595.97,14139303.88,19454540.93,4753426.039,25149661.02,>>NormaExpression,24.57742782,24.9870029,24.08586576,0,24.14758152,24.41660442,22.75577045,23.51452603,23.92677027,24.34972101,25.93865228,0,25.4020521,25.00674045,25.36725314,24.72578383,24.44373892,24.44327476,25.98362409,22.09996941,24.95850824,23.89245218,24.19229194,24.0625646,25.08588342,20.71027457,24.46375253,22.46927374,23.30360451,21.98329907,24.2963111,25.10672246,0,24.74961688,25.22201925,24.92176165,25.23235686,23.01530181,23.85268517,23.23717528,24.36065592,0,0,24.3144281,24.10014279,23.45364223,24.26743047,21.95444927,22.8340275,23.86608073,24.57002458,23.75320786,24.21360368,22.18053659,24.58403568,>>DiffResult,22.00861796,23.51219048,21.96339505,14.55504536,23.56770386,9.012658495,0.162526136,0.297453085,0.99999998,0.986667778,0.984789712,0.209252686,0.138689897,0.134538768,0.979607246,0.976698187,0.999999975,0.247709326,NO
CLU-N291-H4N3F1,5645593.034,,,10840255.36,,,,,11179575.72,36377684.71,,,,,,,15264265.58,5628803.255,,,16667775.21,11366005.4,30850870.49,9940704.396,11554666.02,,8583810.562,,,8977029.004,14301360.91,4663888.069,,,,21888550.68,,,,,,,,,,3964856.342,3984395.671,3424354.727,,4500565.933,6881820.082,,,2415639.422,8106967.644,>>NormaExpression,22.42869396,0,0,23.36989554,0,0,0,0,23.41436223,25.11655043,0,0,0,0,0,0,23.86365494,22.42439705,0,0,23.9905583,23.4382221,24.87880791,23.2449168,23.46197235,0,23.03318697,0,0,23.09780679,23.7696492,22.15310204,0,0,0,24.38367316,0,0,0,0,0,0,0,0,0,21.91883753,21.92592985,21.70740115,0,22.10167532,22.71435895,0,0,21.20397429,22.95073113,>>DiffResult,7.030877707,16.51454712,7.030642441,0,15.45229082,16.51454712,0.018692206,0.747942899,1,0.284622765,0.402584035,0.679554266,0.049649125,0.076419422,0.161798245,0.261193297,0.999430125,0.048774976,YES
CLU-N291-H4N3F2,1293415.508,3044854.606,1199552.048,18395838.32,1567461.007,349104.8832,7845413.877,,13484596.09,39430695.55,1114379.5,,,,,,41260211.8,8748914.566,,,19597808.58,19437387.36,45050111.01,789931.5084,1393903.748,,15037714.92,1572113.939,4129867.91,20922283.37,35688106.55,11421059.43,614406.6813,1312726.375,1990860.114,62459840.29,1844538.302,,722635.7596,2622120.215,22031078.83,1632103.69,1149038.917,,,13395145.92,9288804.414,,,9103231.305,,,,7620298.971,19662654.71,>>NormaExpression,20.3027555,21.53794238,20.19406553,24.13287617,20.57999904,18.41330514,22.90341831,0,23.68480908,25.23281586,20.08781049,0,0,0,0,0,25.29824793,23.06067277,0,0,24.22418908,24.21233105,25.42502736,19.59136987,20.41070055,0,23.84208212,20.58427527,21.97766456,24.31853704,25.08894007,23.44519327,19.22883673,20.3241359,20.92496115,25.89642557,20.8148291,0,19.46291112,21.32230295,24.39303687,20.63830217,20.13199749,0,0,23.67520707,23.14706164,0,0,23.11794747,0,0,0,22.86141636,24.22895485,>>DiffResult,13.27143591,20.45861769,19.65085358,13.03266731,11.70305874,8.75555895,0.18304188,0.767903009,0.507134063,0.999782529,0.430386667,0.999998922,0.68427274,0.999299196,0.386341158,0.994833341,0.332517158,0.269830968,NO
